,index,TotalByYearUSD,Group
17,37,300000,Group1
26,64,500000,Group1
43,96,545717,Group1
65,129,208000,Group1
67,131,627575,Group1
158,279,221077,Group1
208,378,209377,Group1
249,457,280000,Group1
311,552,430000,Group1
316,563,260580,Group1
418,727,249642,Group1
444,768,230000,Group1
460,789,312651,Group1
468,799,400000,Group1
488,822,545717,Group1
493,829,370437,Group1
521,877,216449,Group1
556,943,306966,Group1
562,949,550000,Group1
565,953,220000,Group1
581,981,215000,Group1
598,1016,203000,Group1
628,1060,300000,Group1
659,1118,202921,Group1
665,1127,220000,Group1
722,1208,250000,Group1
726,1213,681816,Group1
763,1287,250000,Group1
770,1297,613932,Group1
848,1440,250000,Group1
854,1453,270000,Group1
855,1454,365000,Group1
886,1514,267320,Group1
889,1519,275000,Group1
895,1533,240000,Group1
900,1544,436574,Group1
976,1669,500000,Group1
980,1678,202921,Group1
1005,1708,228625,Group1
1036,1755,305000,Group1
1037,1757,354716,Group1
1057,1785,518418,Group1
1064,1794,613932,Group1
1065,1795,386543,Group1
1071,1804,204700,Group1
1077,1818,491146,Group1
1147,1946,641218,Group1
1166,1980,270000,Group1
1216,2079,518432,Group1
1230,2105,576000,Group1
1311,2226,244000,Group1
1330,2257,487011,Group1
1353,2303,263798,Group1
1421,2416,220000,Group1
1444,2460,240000,Group1
1492,2544,301840,Group1
1510,2575,300000,Group1
1518,2592,450000,Group1
1523,2606,243074,Group1
1553,2657,250000,Group1
1588,2720,400000,Group1
1600,2738,409288,Group1
1606,2745,250000,Group1
1612,2754,342120,Group1
1643,2817,649348,Group1
1652,2833,649348,Group1
1671,2872,227382,Group1
1729,2963,480000,Group1
1769,3039,230000,Group1
1785,3073,425000,Group1
1788,3077,608764,Group1
1844,3202,210000,Group1
1850,3210,228390,Group1
1855,3217,589375,Group1
1882,3265,275000,Group1
1892,3283,273696,Group1
1903,3301,607952,Group1
1906,3308,215000,Group1
1924,3342,240000,Group1
1964,3414,540000,Group1
1965,3417,300000,Group1
1976,3441,409288,Group1
1991,3468,436574,Group1
2003,3494,225000,Group1
2019,3516,225000,Group1
2103,3675,240000,Group1
2150,3747,250000,Group1
2170,3778,236000,Group1
2171,3782,250000,Group1
2172,3783,208000,Group1
2177,3793,301000,Group1
2179,3799,300000,Group1
2185,3806,225000,Group1
2189,3816,340908,Group1
2199,3835,250000,Group1
2240,3898,228000,Group1
2299,3992,250000,Group1
2303,3999,208737,Group1
2352,4089,260000,Group1
2414,4215,405843,Group1
2442,4263,684000,Group1
2494,4348,420000,Group1
2502,4359,250000,Group1
2556,4448,560000,Group1
2584,4498,500000,Group1
2593,4512,210000,Group1
2618,4567,207000,Group1
2633,4583,354331,Group1
2643,4597,220000,Group1
2650,4608,300000,Group1
2675,4647,218000,Group1
2681,4658,500000,Group1
2719,4724,225000,Group1
2738,4763,316496,Group1
2776,4826,208000,Group1
2779,4836,208000,Group1
2784,4848,250000,Group1
2813,4906,230000,Group1
2814,4908,264000,Group1
2852,4969,260000,Group1
2904,5061,215000,Group1
2965,5164,525000,Group1
2968,5171,260000,Group1
2975,5184,324674,Group1
2977,5188,215195,Group1
3017,5249,214000,Group1
3094,5378,202370,Group1
3104,5402,245000,Group1
3110,5410,559360,Group1
3123,5428,550000,Group1
3126,5431,225000,Group1
3142,5466,317000,Group1
3148,5481,440667,Group1
3167,5522,270466,Group1
3173,5528,300000,Group1
3186,5550,270000,Group1
3191,5558,330000,Group1
3217,5602,245573,Group1
3233,5631,338225,Group1
3241,5644,318335,Group1
3242,5645,511365,Group1
3258,5676,236478,Group1
3265,5691,300000,Group1
3291,5733,300000,Group1
3301,5751,225000,Group1
3304,5756,250000,Group1
3330,5800,270000,Group1
3346,5822,425000,Group1
3391,5893,301000,Group1
3409,5916,335000,Group1
3411,5919,216352,Group1
3424,5940,208000,Group1
3475,6031,250000,Group1
3482,6047,212830,Group1
3541,6139,250000,Group1
3568,6197,405843,Group1
3575,6210,282030,Group1
3592,6233,600000,Group1
3608,6258,325000,Group1
3643,6312,230000,Group1
3660,6345,249600,Group1
3662,6347,477503,Group1
3719,6444,490000,Group1
3725,6459,220000,Group1
3734,6473,216449,Group1
3775,6540,249600,Group1
3814,6606,300000,Group1
3823,6618,568180,Group1
3829,6631,350000,Group1
3836,6642,240000,Group1
3852,6667,205000,Group1
3853,6668,300000,Group1
3872,6704,422931,Group1
3890,6739,400000,Group1
