,index,YearsCodePro
4,4,10
8,8,4
9,9,4
10,10,10
11,11,5
12,12,6
16,16,2
17,17,6
18,18,30
19,19,9
23,23,2
24,24,18
25,25,12
26,26,5
27,27,21
28,28,1
29,29,16
31,31,2
33,33,2
34,34,10
35,35,10
36,36,1
37,37,15
40,40,5
41,41,3
44,44,1
45,45,15
47,47,35
48,48,1
50,50,6
51,51,7
52,52,4
55,55,12
56,56,2
57,57,16
58,58,3
61,61,5
62,62,5
64,64,5
66,66,2
67,67,10
68,68,10
69,69,18
70,70,2
71,71,30
75,75,15
76,76,8
77,77,8
81,81,3
83,83,7
84,84,6
85,85,2
86,86,17
87,87,1
88,88,14
91,91,10
92,92,8
93,93,5
95,95,21
96,96,1
97,97,4
98,98,1
99,99,7
100,100,3
101,101,8
102,102,1
103,103,5
104,104,2
105,105,26
106,106,3
107,107,25
108,108,8
109,109,3
110,110,1
111,111,20
113,113,4
114,114,2
116,116,2
117,117,1
118,118,6
119,119,2
120,120,50
121,121,2
122,122,4
123,123,8
124,124,5
125,125,8
128,128,1
129,129,16
130,130,5
131,131,3
132,132,20
135,135,4
136,136,3
137,137,5
138,138,3
139,139,25
141,141,2
142,142,2
143,143,34
144,144,3
145,145,11
146,146,5
148,148,2
150,150,5
152,152,25
153,153,4
154,154,7
155,155,24
156,156,6
157,157,7
159,159,8
160,160,4
161,161,22
163,163,9
165,165,8
166,166,4
167,167,25
168,168,2
170,170,3
172,172,14
174,174,24
175,175,6
177,177,17
178,178,11
179,179,18
180,180,25
182,182,3
183,183,21
184,184,15
185,185,3
186,186,13
187,187,18
188,188,1
190,190,9
192,192,7
194,194,6
198,198,2
199,199,5
201,201,20
203,203,6
205,205,1
206,206,2
207,207,6
208,208,4
209,209,2
210,210,14
211,211,14
212,212,22
213,213,9
217,217,7
222,222,8
223,223,26
224,224,9
225,225,2
226,226,7
227,227,5
228,228,15
229,229,3
231,231,2
234,234,22
235,235,3
236,236,4
237,237,5
238,238,7
243,243,7
244,244,9
245,245,3
246,246,7
249,249,2
250,250,5
252,252,12
253,253,12
254,254,2
256,256,3
258,258,8
259,259,4
260,260,8
261,261,3
262,262,11
263,263,7
264,264,3
265,265,12
267,267,13
268,268,2
269,269,4
270,270,2
271,271,7
272,272,9
273,273,3
275,275,2
276,276,15
278,278,13
279,279,8
280,280,31
284,284,6
285,285,9
286,286,7
288,288,16
289,289,1
290,290,6
292,292,16
295,295,20
296,296,12
300,300,5
301,301,10
304,304,3
305,305,4
306,306,1
308,308,1
309,309,20
311,311,4
312,312,4
313,313,23
315,315,15
316,316,1
318,318,15
319,319,4
322,322,2
323,323,13
324,324,12
326,326,4
327,327,21
328,328,15
330,330,9
332,332,34
333,333,26
334,334,22
335,335,5
336,336,7
337,337,3
338,338,11
342,342,22
344,344,6
345,345,10
346,346,7
347,347,15
348,348,3
349,349,6
350,350,1
351,351,6
352,352,15
353,353,3
354,354,11
356,356,4
357,357,5
358,358,3
359,359,4
360,360,1
363,363,39
364,364,9
365,365,2
366,366,3
367,367,2
368,368,4
369,369,6
370,370,20
371,371,13
373,373,3
374,374,6
375,375,2
376,376,1
377,377,4
378,378,5
379,379,14
380,380,1
382,382,8
383,383,14
384,384,3
385,385,3
389,389,10
390,390,1
393,393,7
396,396,1
397,397,41
398,398,20
399,399,7
401,401,10
402,402,20
403,403,9
404,404,1
405,405,20
406,406,24
409,409,27
412,412,3
413,413,21
414,414,4
415,415,21
417,417,16
419,419,6
420,420,25
421,421,20
424,424,6
425,425,6
428,428,28
432,432,6
433,433,3
434,434,4
435,435,16
436,436,4
437,437,16
438,438,7
439,439,23
440,440,4
441,441,12
442,442,4
443,443,6
444,444,1
448,448,2
449,449,6
450,450,1
451,451,20
452,452,7
454,454,2
456,456,12
457,457,35
458,458,3
459,459,5
460,460,5
462,462,7
463,463,12
464,464,6
465,465,3
467,467,4
468,468,6
469,469,4
470,470,8
471,471,10
472,472,10
473,473,2
474,474,4
475,475,7
476,476,4
477,477,6
478,478,7
481,481,4
482,482,1
483,483,18
485,485,30
487,487,5
488,488,10
489,489,2
491,491,3
492,492,4
493,493,10
494,494,12
495,495,5
497,497,6
498,498,5
499,499,4
500,500,19
501,501,17
502,502,18
503,503,20
504,504,15
505,505,6
508,508,7
509,509,10
510,510,11
511,511,10
512,512,3
513,513,1
514,514,7
515,515,4
516,516,3
518,518,9
520,520,8
521,521,4
522,522,20
523,523,2
524,524,11
526,526,35
528,528,9
529,529,8
532,532,2
533,533,3
534,534,12
535,535,3
536,536,6
538,538,2
539,539,21
540,540,10
541,541,10
543,543,3
544,544,8
545,545,3
546,546,2
547,547,9
548,548,31
549,549,4
552,552,8
554,554,1
556,556,13
559,559,18
560,560,4
562,562,13
563,563,15
564,564,6
565,565,8
566,566,12
567,567,5
569,569,6
570,570,7
571,571,8
572,572,10
574,574,8
575,575,5
576,576,8
577,577,1
578,578,12
579,579,5
580,580,21
581,581,7
582,582,17
583,583,7
584,584,17
585,585,5
586,586,1
587,587,19
588,588,10
589,589,3
590,590,4
591,591,10
594,594,10
595,595,1
596,596,4
598,598,5
601,601,8
602,602,3
603,603,5
605,605,25
606,606,16
607,607,3
608,608,4
609,609,6
611,611,5
612,612,23
614,614,1
615,615,7
616,616,9
617,617,8
618,618,7
619,619,25
620,620,10
621,621,18
624,624,3
625,625,7
626,626,3
629,629,6
631,631,3
632,632,25
634,634,2
637,637,10
638,638,4
639,639,1
642,642,10
644,644,1
645,645,13
646,646,15
649,649,5
650,650,2
651,651,3
652,652,5
654,654,9
655,655,7
657,657,6
658,658,2
659,659,2
660,660,3
661,661,2
662,662,5
663,663,10
664,664,30
666,666,8
668,668,3
669,669,10
670,670,14
671,671,1
672,672,3
673,673,5
675,675,1
676,676,7
677,677,8
678,678,5
679,679,11
680,680,7
681,681,30
682,682,6
683,683,1
684,684,2
686,686,9
687,687,20
688,688,9
689,689,2
690,690,4
691,691,4
692,692,9
693,693,8
694,694,14
696,696,33
697,697,5
698,698,3
700,700,8
701,701,14
702,702,25
703,703,4
705,705,5
707,707,50
708,708,2
709,709,4
710,710,2
711,711,7
712,712,1
713,713,5
714,714,8
715,715,4
716,716,20
717,717,12
718,718,13
719,719,9
720,720,4
723,723,2
724,724,20
726,726,14
727,727,5
728,728,7
729,729,35
731,731,9
732,732,4
733,733,24
734,734,4
735,735,3
736,736,1
738,738,12
739,739,1
741,741,10
742,742,1
744,744,7
745,745,1
750,750,4
751,751,25
752,752,20
754,754,2
755,755,5
757,757,2
758,758,15
759,759,6
760,760,16
761,761,30
762,762,4
764,764,12
767,767,11
768,768,9
769,769,2
772,772,3
773,773,3
774,774,4
775,775,15
776,776,8
777,777,5
778,778,4
779,779,6
780,780,5
781,781,2
782,782,1
783,783,13
784,784,5
785,785,7
786,786,6
787,787,1
788,788,10
789,789,14
790,790,2
791,791,22
793,793,3
794,794,12
796,796,6
797,797,5
798,798,1
799,799,12
800,800,1
801,801,3
803,803,2
804,804,3
805,805,25
806,806,14
807,807,1
808,808,6
809,809,1
810,810,3
811,811,9
812,812,10
813,813,8
814,814,4
816,816,4
817,817,7
818,818,14
819,819,26
820,820,1
821,821,4
822,822,1
823,823,4
824,824,4
825,825,2
826,826,6
827,827,2
828,828,2
829,829,1
830,830,8
831,831,10
832,832,5
833,833,3
834,834,1
836,836,15
837,837,2
839,839,3
840,840,4
842,842,2
845,845,1
846,846,15
847,847,15
848,848,11
849,849,6
850,850,5
851,851,2
852,852,24
853,853,2
855,855,15
856,856,7
857,857,13
858,858,9
859,859,6
860,860,3
861,861,15
862,862,3
863,863,11
866,866,2
867,867,10
868,868,1
869,869,4
870,870,2
871,871,8
872,872,1
873,873,21
874,874,5
875,875,5
876,876,3
877,877,23
878,878,5
880,880,28
881,881,2
882,882,3
884,884,2
886,886,10
888,888,10
889,889,8
890,890,3
891,891,15
894,894,5
895,895,1
896,896,5
897,897,1
898,898,12
899,899,3
900,900,19
901,901,12
906,906,5
907,907,2
908,908,1
909,909,12
910,910,7
911,911,7
912,912,6
913,913,7
914,914,10
915,915,5
916,916,19
917,917,22
918,918,12
919,919,10
920,920,2
921,921,11
923,923,1
925,925,5
926,926,25
928,928,2
930,930,5
931,931,24
933,933,22
935,935,7
936,936,7
937,937,2
939,939,9
940,940,1
941,941,4
942,942,18
943,943,6
944,944,1
945,945,10
946,946,15
947,947,9
948,948,6
949,949,3
950,950,3
952,952,4
953,953,37
955,955,2
956,956,6
957,957,1
958,958,8
961,961,4
962,962,4
963,963,30
967,967,27
968,968,4
969,969,23
970,970,4
971,971,2
972,972,1
973,973,28
974,974,4
975,975,25
976,976,10
977,977,16
979,979,4
980,980,19
981,981,20
982,982,9
984,984,10
985,985,10
988,988,35
989,989,4
992,992,3
993,993,30
996,996,6
997,997,12
998,998,9
1000,1000,15
1001,1001,5
1003,1003,6
1004,1004,1
1005,1005,3
1008,1008,10
1010,1010,10
1011,1011,15
1012,1012,7
1015,1015,2
1016,1016,15
1017,1017,22
1018,1018,2
1019,1019,1
1020,1020,3
1021,1021,13
1022,1022,20
1023,1023,5
1024,1024,20
1025,1025,9
1028,1028,5
1029,1029,5
1030,1030,16
1031,1031,4
1032,1032,12
1034,1034,20
1035,1035,8
1036,1036,13
1037,1037,23
1038,1038,4
