,index,CompTotal,CompFreq,Currency_Type,Currency_Describtion,TotalByYear,USD per unit,TotalByYearUSD,Echange_rate
0,0,4800.0,Monthly,EUR,European Euro,57600.0,0,65046.66942528,1.1292824553
1,9,42000.0,Monthly,SEK,Swedish krona,504000.0,0,55450.7438184,0.1100213171
2,11,43000.0,Yearly,EUR,European Euro,43000.0,0,48559.1455779,1.1292824553
3,12,71500.0,Yearly,EUR,European Euro,71500.0,0,80743.69555395,1.1292824553
4,16,9000.0,Monthly,TRY,Turkish lira,108000.0,0,7964.970127199999,0.0737497234
5,17,61000.0,Yearly,CAD,Canadian dollar,61000.0,0,48021.9810876,0.7872455916
6,18,18700.0,Monthly,SGD,Singapore dollar,224400.0,0,165533.10778751998,0.7376698208
7,23,36000.0,Yearly,EUR,European Euro,36000.0,0,40654.168390800005,1.1292824553
8,24,72000.0,Yearly,EUR,European Euro,72000.0,0,81308.33678160001,1.1292824553
9,26,80000.0,Yearly,CHF,Swiss franc,80000.0,0,87368.13935200001,1.0921017419
10,27,53000.0,Yearly,GBP,Pound sterling,53000.0,0,71773.95924329999,1.3542256461
11,29,200000.0,Monthly,RUB,Russian ruble,2400000.0,0,31929.01056,0.0133037544
12,31,35000.0,Monthly,ILS,Israeli new shekel,420000.0,0,135970.09754999998,0.3237383275
13,33,6000.0,Monthly,TRY,Turkish lira,72000.0,0,5309.9800847999995,0.0737497234
14,34,2000.0,Monthly,USD,United States dollar,24000.0,0,24000.0,1.0
15,35,56000.0,Yearly,EUR,European Euro,56000.0,0,63239.8174968,1.1292824553
16,36,103000.0,Yearly,USD,United States dollar,103000.0,0,103000.0,1.0
17,37,300000.0,Yearly,USD,United States dollar,300000.0,0,300000.0,1.0
18,41,24000.0,Yearly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
19,45,22000.0,Monthly,BRL,Brazilian real,264000.0,0,46495.550508,0.1761195095
20,48,3100.0,Monthly,BGN,Bulgarian lev,37200.0,0,21479.0177772,0.577392951
21,50,2000.0,Monthly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
22,55,50000.0,Yearly,GBP,Pound sterling,50000.0,0,67711.282305,1.3542256461
23,57,50000.0,Yearly,EUR,European Euro,50000.0,0,56464.122765,1.1292824553
24,58,120000.0,Monthly,RUB,Russian ruble,1440000.0,0,19157.406336,0.0133037544
25,62,130000.0,Yearly,USD,United States dollar,130000.0,0,130000.0,1.0
26,64,500000.0,Yearly,USD,United States dollar,500000.0,0,500000.0,1.0
27,67,95000.0,Yearly,CAD,Canadian dollar,95000.0,0,74788.331202,0.7872455916
28,68,54000.0,Yearly,EUR,European Euro,54000.0,0,60981.252586200004,1.1292824553
29,69,100005.0,Yearly,GBP,Pound sterling,100005.0,0,135429.3357382305,1.3542256461
30,70,24000.0,Yearly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
31,75,105000.0,Yearly,USD,United States dollar,105000.0,0,105000.0,1.0
32,76,15000.0,Monthly,PLN,Polish zloty,180000.0,0,44540.102574,0.2474450143
33,77,200000.0,Yearly,CAD,Canadian dollar,200000.0,0,157449.11831999998,0.7872455916
34,79,20000.0,Yearly,EUR,European Euro,20000.0,0,22585.649106,1.1292824553
35,80,1000000000.0,Yearly,UZS,Uzbekistani som,1000000000.0,0,92532.40000000001,9.25324e-05
36,81,33000.0,Monthly,SEK,Swedish krona,396000.0,0,43568.4415716,0.1100213171
37,83,3600.0,Monthly,CHF,Swiss franc,43200.0,0,47178.79525008,1.0921017419
38,84,1100000.0,Monthly,HUF,Hungarian forint,13200000.0,0,41129.90376,0.0031159018
39,86,126000.0,Yearly,CAD,Canadian dollar,126000.0,0,99192.9445416,0.7872455916
40,87,100000.0,Yearly,USD,United States dollar,100000.0,0,100000.0,1.0
41,88,47500.0,Yearly,GBP,Pound sterling,47500.0,0,64325.71818975,1.3542256461
42,91,100000.0,Yearly,EUR,European Euro,100000.0,0,112928.24553,1.1292824553
43,96,40000.0,Monthly,EUR,European Euro,480000.0,0,542055.578544,1.1292824553
44,97,9000.0,Monthly,PLN,Polish zloty,108000.0,0,26724.0615444,0.2474450143
45,99,51000.0,Yearly,SEK,Swedish krona,51000.0,0,5611.0871721,0.1100213171
46,100,140000.0,Yearly,EUR,European Euro,140000.0,0,158099.543742,1.1292824553
47,101,1900.0,Monthly,EUR,European Euro,22800.0,0,25747.639980840002,1.1292824553
48,102,100000.0,Monthly,PKR,Pakistani rupee,1200000.0,0,6792.1422,0.0056601185
49,103,1.0000000000000001e+29,Monthly,ZMW,Zambian kwacha,1.2000000000000001e+30,0,7.1546391e+28,0.0596219925
50,105,132000.0,Yearly,CHF,Swiss franc,132000.0,0,144157.42993080002,1.0921017419
51,106,50000.0,Yearly,GBP,Pound sterling,50000.0,0,67711.282305,1.3542256461
52,108,36000.0,Yearly,EUR,European Euro,36000.0,0,40654.168390800005,1.1292824553
53,109,150000.0,Monthly,NGN,Nigerian naira,1800000.0,0,4359.49866,0.0024219437
54,110,2275.0,Monthly,EUR,European Euro,27300.0,0,30829.41102969,1.1292824553
55,114,1100.0,Monthly,EUR,European Euro,13200.0,0,14906.528409960001,1.1292824553
56,116,40000.0,Yearly,EUR,European Euro,40000.0,0,45171.298212,1.1292824553
57,117,400.0,Monthly,ALL,Albanian lek,4800.0,0,45.20302032,0.0094172959
58,118,140000.0,Yearly,USD,United States dollar,140000.0,0,140000.0,1.0
59,119,42000.0,Yearly,EUR,European Euro,42000.0,0,47429.8631226,1.1292824553
60,122,100000.0,Monthly,BDT,Bangladeshi taka,1200000.0,0,14023.49244,0.0116862437
61,123,4600.0,Monthly,EUR,European Euro,55200.0,0,62336.39153256,1.1292824553
62,124,29100.0,Monthly,ILS,Israeli new shekel,349200.0,0,113049.423963,0.3237383275
63,125,21000.0,Yearly,USD,United States dollar,21000.0,0,21000.0,1.0
64,128,54000.0,Yearly,USD,United States dollar,54000.0,0,54000.0,1.0
65,129,4000.0,Weekly,USD,United States dollar,208000.0,0,208000.0,1.0
66,130,2800.0,Monthly,EUR,European Euro,33600.0,0,37943.89049808,1.1292824553
67,131,46000.0,Monthly,EUR,European Euro,552000.0,0,623363.9153256001,1.1292824553
68,134,140000.0,Yearly,CAD,Canadian dollar,140000.0,0,110214.382824,0.7872455916
69,136,30000.0,Yearly,GBP,Pound sterling,30000.0,0,40626.769383,1.3542256461
70,137,84000.0,Yearly,CAD,Canadian dollar,84000.0,0,66128.62969439999,0.7872455916
71,138,16000.0,Monthly,PLN,Polish zloty,192000.0,0,47509.4427456,0.2474450143
72,139,55000.0,Yearly,EUR,European Euro,55000.0,0,62110.5350415,1.1292824553
73,142,5400.0,Monthly,RON,Romanian leu,64800.0,0,14790.59703216,0.2282499542
74,143,200000.0,Yearly,USD,United States dollar,200000.0,0,200000.0,1.0
75,145,90000.0,Yearly,EUR,European Euro,90000.0,0,101635.420977,1.1292824553
76,146,4800000.0,Yearly,RUB,Russian ruble,4800000.0,0,63858.02112,0.0133037544
77,148,3000.0,Monthly,USD,United States dollar,36000.0,0,36000.0,1.0
78,150,46000.0,Yearly,EUR,European Euro,46000.0,0,51946.9929438,1.1292824553
79,151,25000.0,Monthly,ILS,Israeli new shekel,300000.0,0,97121.49824999999,0.3237383275
80,152,54191.0,Yearly,GBP,Pound sterling,54191.0,0,73386.84198780509,1.3542256461
81,153,98500.0,Yearly,USD,United States dollar,98500.0,0,98500.0,1.0
82,154,14000.0,Monthly,INR,Indian rupee,168000.0,0,2254.3415496,0.0134186997
83,155,115000.0,Yearly,USD,United States dollar,115000.0,0,115000.0,1.0
84,156,3600.0,Monthly,CHF,Swiss franc,43200.0,0,47178.79525008,1.0921017419
85,157,80000.0,Yearly,GBP,Pound sterling,80000.0,0,108338.05168799999,1.3542256461
86,159,3500.0,Monthly,USD,United States dollar,42000.0,0,42000.0,1.0
87,160,30000.0,Monthly,ILS,Israeli new shekel,360000.0,0,116545.79789999999,0.3237383275
88,161,55000.0,Yearly,GBP,Pound sterling,55000.0,0,74482.41053549999,1.3542256461
89,165,4600.0,Monthly,EUR,European Euro,55200.0,0,62336.39153256,1.1292824553
90,166,10000.0,Monthly,HRK,Croatian kuna,120000.0,0,18025.777152,0.1502148096
91,168,3500.0,Monthly,GEL,Georgian lari,42000.0,0,13571.6819154,0.3231352837
92,170,130000.0,Yearly,CAD,Canadian dollar,130000.0,0,102341.926908,0.7872455916
93,171,2000.0,Monthly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
94,172,50000.0,Yearly,EUR,European Euro,50000.0,0,56464.122765,1.1292824553
95,173,48000.0,Yearly,EUR,European Euro,48000.0,0,54205.5578544,1.1292824553
96,174,800000.0,Yearly,DKK,Danish krone,800000.0,0,121462.32351999999,0.1518279044
97,175,300000.0,Monthly,RUB,Russian ruble,3600000.0,0,47893.51584,0.0133037544
98,176,1000000.0,Monthly,AMD,Armenian dram,12000000.0,0,24896.7936,0.0020747328
99,178,64000.0,Yearly,EUR,European Euro,64000.0,0,72274.0771392,1.1292824553
100,179,2000.0,Monthly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
101,180,47000.0,Yearly,GBP,Pound sterling,47000.0,0,63648.6053667,1.3542256461
102,182,5500.0,Monthly,PLN,Polish zloty,66000.0,0,16331.370943799999,0.2474450143
103,184,30000.0,Monthly,RON,Romanian leu,360000.0,0,82169.98351199999,0.2282499542
104,185,1800000.0,Monthly,LBP,Lebanese pound,21600000.0,0,14328.35784,0.0006633499
105,186,65000.0,Yearly,GBP,Pound sterling,65000.0,0,88024.6669965,1.3542256461
106,187,2000.0,Monthly,BHD,Bahraini dinar,24000.0,0,63829.787234400006,2.6595744681
107,188,6000.0,Monthly,EGP,Egyptian pound,72000.0,0,4577.1845904,0.0635720082
108,190,70000.0,Yearly,USD,United States dollar,70000.0,0,70000.0,1.0
109,192,85000.0,Yearly,EUR,European Euro,85000.0,0,95989.00870050001,1.1292824553
110,193,115.0,Yearly,EUR,European Euro,115.0,0,129.8674823595,1.1292824553
111,198,160000.0,Monthly,RUB,Russian ruble,1920000.0,0,25543.208447999998,0.0133037544
112,199,90000.0,Yearly,USD,United States dollar,90000.0,0,90000.0,1.0
113,201,1800.0,Monthly,USD,United States dollar,21600.0,0,21600.0,1.0
114,203,3900.0,Monthly,EUR,European Euro,46800.0,0,52850.41890804,1.1292824553
115,205,9000.0,Monthly,INR,Indian rupee,108000.0,0,1449.2195676,0.0134186997
116,206,193000.0,Yearly,USD,United States dollar,193000.0,0,193000.0,1.0
117,207,53000.0,Weekly,USD,United States dollar,2756000.0,0,2756000.0,1.0
118,208,2200.0,Monthly,EUR,European Euro,26400.0,0,29813.056819920002,1.1292824553
119,209,145000.0,Yearly,AUD,Australian dollar,145000.0,0,104997.3249915,0.7241194827
120,210,60000.0,Yearly,GBP,Pound sterling,60000.0,0,81253.538766,1.3542256461
121,211,80000.0,Yearly,GBP,Pound sterling,80000.0,0,108338.05168799999,1.3542256461
122,212,120000.0,Yearly,CHF,Swiss franc,120000.0,0,131052.20902800001,1.0921017419
123,213,400000.0,Monthly,RUB,Russian ruble,4800000.0,0,63858.02112,0.0133037544
124,222,78000.0,Yearly,EUR,European Euro,78000.0,0,88084.0315134,1.1292824553
125,223,230000.0,Monthly,RUB,Russian ruble,2760000.0,0,36718.362144,0.0133037544
126,224,70000.0,Yearly,EUR,European Euro,70000.0,0,79049.771871,1.1292824553
127,225,1500000.0,Monthly,CLP,Chilean peso,18000000.0,0,21233.808,0.001179656
128,226,80000.0,Yearly,GBP,Pound sterling,80000.0,0,108338.05168799999,1.3542256461
129,227,41000.0,Yearly,EUR,European Euro,41000.0,0,46300.580667300004,1.1292824553
130,233,40000.0,Yearly,GBP,Pound sterling,40000.0,0,54169.025843999996,1.3542256461
131,234,165000.0,Yearly,USD,United States dollar,165000.0,0,165000.0,1.0
132,235,6000000.0,Monthly,IDR,Indonesian rupiah,72000000.0,0,5027.6232,6.98281e-05
133,237,4000.0,Monthly,EUR,European Euro,48000.0,0,54205.5578544,1.1292824553
134,238,300000000.0,Monthly,IRR,Iranian rial,3600000000.0,0,85467.59999999999,2.3741e-05
135,240,74000.0,Weekly,USD,United States dollar,3848000.0,0,3848000.0,1.0
136,243,4000.0,Monthly,USD,United States dollar,48000.0,0,48000.0,1.0
137,244,60000.0,Yearly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
138,245,39000.0,Yearly,EUR,European Euro,39000.0,0,44042.0157567,1.1292824553
139,246,2500.0,Monthly,EUR,European Euro,30000.0,0,33878.473659,1.1292824553
140,249,60000.0,Yearly,USD,United States dollar,60000.0,0,60000.0,1.0
141,250,4000.0,Monthly,EUR,European Euro,48000.0,0,54205.5578544,1.1292824553
142,252,2700.0,Monthly,EUR,European Euro,32400.0,0,36588.75155172,1.1292824553
143,256,700.0,Monthly,EUR,European Euro,8400.0,0,9485.97262452,1.1292824553
144,258,69000.0,Yearly,EUR,European Euro,69000.0,0,77920.48941570001,1.1292824553
145,259,2600.0,Monthly,EUR,European Euro,31200.0,0,35233.61260536,1.1292824553
146,260,4200.0,Monthly,BGN,Bulgarian lev,50400.0,0,29100.6047304,0.577392951
147,261,38800.0,Yearly,GBP,Pound sterling,38800.0,0,52543.95506868,1.3542256461
148,262,2200000.0,Yearly,INR,Indian rupee,2200000.0,0,29521.13934,0.0134186997
149,263,72000.0,Yearly,EUR,European Euro,72000.0,0,81308.33678160001,1.1292824553
150,264,47000.0,Monthly,DKK,Danish krone,564000.0,0,85630.93808159999,0.1518279044
151,268,50000.0,Yearly,EUR,European Euro,50000.0,0,56464.122765,1.1292824553
152,270,100000.0,Weekly,AMD,Armenian dram,5200000.0,0,10788.61056,0.0020747328
153,271,38000.0,Yearly,EUR,European Euro,38000.0,0,42912.7333014,1.1292824553
154,273,3500.0,Monthly,EUR,European Euro,42000.0,0,47429.8631226,1.1292824553
155,275,15000.0,Yearly,GBP,Pound sterling,15000.0,0,20313.3846915,1.3542256461
156,276,72000.0,Yearly,EUR,European Euro,72000.0,0,81308.33678160001,1.1292824553
157,278,160000.0,Yearly,USD,United States dollar,160000.0,0,160000.0,1.0
158,279,686677.0,Yearly,ILS,Israeli new shekel,686677.0,0,222303.6635127175,0.3237383275
159,280,185000.0,Yearly,USD,United States dollar,185000.0,0,185000.0,1.0
160,285,107972.0,Yearly,USD,United States dollar,107972.0,0,107972.0,1.0
161,286,520000.0,Yearly,HKD,Hong Kong dollar,520000.0,0,66716.017784,0.1283000342
162,289,75000.0,Yearly,USD,United States dollar,75000.0,0,75000.0,1.0
163,290,37500.0,Yearly,GBP,Pound sterling,37500.0,0,50783.46172875,1.3542256461
164,292,120000.0,Yearly,USD,United States dollar,120000.0,0,120000.0,1.0
165,296,3200.0,Monthly,BRL,Brazilian real,38400.0,0,6762.989164799999,0.1761195095
166,300,30000.0,Yearly,EUR,European Euro,30000.0,0,33878.473659,1.1292824553
167,301,1000.0,Monthly,EUR,European Euro,12000.0,0,13551.3894636,1.1292824553
168,304,15000000.0,Monthly,IRR,Iranian rial,180000000.0,0,4273.38,2.3741e-05
169,305,26000.0,Yearly,EUR,European Euro,26000.0,0,29361.343837800003,1.1292824553
170,309,6000.0,Monthly,EUR,European Euro,72000.0,0,81308.33678160001,1.1292824553
171,312,40000.0,Yearly,GBP,Pound sterling,40000.0,0,54169.025843999996,1.3542256461
172,313,1500.0,Monthly,USD,United States dollar,18000.0,0,18000.0,1.0
173,315,40000.0,Yearly,EUR,European Euro,40000.0,0,45171.298212,1.1292824553
174,316,144000.0,Yearly,EGP,Egyptian pound,144000.0,0,9154.3691808,0.0635720082
175,318,65000.0,Yearly,EUR,European Euro,65000.0,0,73403.3595945,1.1292824553
176,322,7000.0,Monthly,EGP,Egyptian pound,84000.0,0,5340.0486888000005,0.0635720082
177,323,115000.0,Yearly,USD,United States dollar,115000.0,0,115000.0,1.0
178,324,144000.0,Yearly,USD,United States dollar,144000.0,0,144000.0,1.0
179,326,5050.0,Monthly,EUR,European Euro,60600.0,0,68434.51679118001,1.1292824553
180,327,65000.0,Yearly,EUR,European Euro,65000.0,0,73403.3595945,1.1292824553
181,332,240000.0,Yearly,CAD,Canadian dollar,240000.0,0,188938.941984,0.7872455916
182,333,66000.0,Monthly,SEK,Swedish krona,792000.0,0,87136.8831432,0.1100213171
183,334,105000.0,Yearly,USD,United States dollar,105000.0,0,105000.0,1.0
184,335,52000.0,Yearly,EUR,European Euro,52000.0,0,58722.687675600006,1.1292824553
185,336,50000.0,Yearly,GBP,Pound sterling,50000.0,0,67711.282305,1.3542256461
186,337,18000.0,Monthly,TRY,Turkish lira,216000.0,0,15929.940254399999,0.0737497234
187,338,60000.0,Yearly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
188,344,115000.0,Weekly,USD,United States dollar,5980000.0,0,5980000.0,1.0
189,345,110000.0,Yearly,USD,United States dollar,110000.0,0,110000.0,1.0
190,346,5000.0,Monthly,EUR,European Euro,60000.0,0,67756.947318,1.1292824553
191,347,120000.0,Yearly,USD,United States dollar,120000.0,0,120000.0,1.0
192,349,1300000.0,Monthly,AMD,Armenian dram,15600000.0,0,32365.83168,0.0020747328
193,350,45000.0,Monthly,BDT,Bangladeshi taka,540000.0,0,6310.5715979999995,0.0116862437
194,351,45000.0,Yearly,EUR,European Euro,45000.0,0,50817.7104885,1.1292824553
195,354,18000.0,Monthly,PLN,Polish zloty,216000.0,0,53448.1230888,0.2474450143
196,356,2750.0,Monthly,EUR,European Euro,33000.0,0,37266.321024900004,1.1292824553
197,359,100000.0,Yearly,CAD,Canadian dollar,100000.0,0,78724.55915999999,0.7872455916
198,363,70000.0,Yearly,USD,United States dollar,70000.0,0,70000.0,1.0
199,364,54000.0,Yearly,EUR,European Euro,54000.0,0,60981.252586200004,1.1292824553
200,366,2000.0,Monthly,EUR,European Euro,24000.0,0,27102.7789272,1.1292824553
201,367,400000.0,Yearly,INR,Indian rupee,400000.0,0,5367.47988,0.0134186997
202,368,58000.0,Yearly,USD,United States dollar,58000.0,0,58000.0,1.0
203,369,57000.0,Yearly,EUR,European Euro,57000.0,0,64369.099952100005,1.1292824553
204,371,55000.0,Yearly,EUR,European Euro,55000.0,0,62110.5350415,1.1292824553
205,373,45000.0,Monthly,SEK,Swedish krona,540000.0,0,59411.511234,0.1100213171
206,374,90000.0,Yearly,CAD,Canadian dollar,90000.0,0,70852.103244,0.7872455916
207,377,74000.0,Yearly,USD,United States dollar,74000.0,0,74000.0,1.0
